Date;ANC02_CLIMIN_ECOACE;ANC02_CLIMIN_ECODIN;ANC02_CLIMIN_ECOHIS;ANC02_CLIMRCP45_ECOACE;ANC02_CLIMRCP45_ECODIN;ANC02_CLIMRCP45_ECOHIS;ANC02_CLIMRCP85_ECOACE;ANC02_CLIMRCP85_ECODIN;ANC02_CLIMRCP85_ECOHIS;ANC22_CLIMIN_ECOACE;ANC22_CLIMIN_ECODIN;ANC22_CLIMIN_ECOHIS;ANC22_CLIMRCP45_ECOACE;ANC22_CLIMRCP45_ECODIN;ANC22_CLIMRCP45_ECOHIS;ANC22_CLIMRCP85_ECOACE;ANC22_CLIMRCP85_ECODIN;ANC22_CLIMRCP85_ECOHIS;ANCTEND_CLIMIN_ECOACE;ANCTEND_CLIMIN_ECODIN;ANCTEND_CLIMIN_ECOHIS;ANCTEND_CLIMRCP45_ECOACE;ANCTEND_CLIMRCP45_ECODIN;ANCTEND_CLIMRCP45_ECOHIS;ANCTEND_CLIMRCP85_ECOACE;ANCTEND_CLIMRCP85_ECODIN;ANCTEND_CLIMRCP85_ECOHIS
1/1/2025;6.614679109;6.470574538;6.387246171;8.223424066;8.06057954;7.937847438;7.892325161;7.742238492;7.613017993;6.801958129;6.655094357;6.570752332;8.484839538;8.31866855;8.194533192;8.144869002;7.951450445;7.862860615;7.061599719;6.911130509;6.825603961;8.830813646;8.660348188;8.5345009;8.4792397;8.281161684;8.150049796
1/2/2025;7.246577361;7.089884954;6.997860543;8.713697117;8.543723966;8.411144797;8.625311425;8.458490142;8.325584182;7.455299879;7.295537589;7.202343521;8.995013187;8.821507454;8.687303532;8.905853873;8.691488422;8.595214755;7.746418383;7.582605342;7.488014635;9.369718743;9.191607945;9.055378736;9.279637177;9.059854009;8.917007828
1/3/2025;6.685829303;6.555711585;6.455791435;7.720679136;7.587974296;7.45227823;7.363867588;7.233694707;7.102621473;6.881694146;6.749098496;6.647616541;7.973791752;7.838469913;7.700677268;7.60700835;7.436493589;7.342862275;7.156418043;7.020551498;6.91708843;8.31296305;8.174212419;8.033719438;7.932891782;7.758129793;7.624122657
1/4/2025;7.1558626;7.050302912;6.909805152;8.13161575;8.027396605;7.848927134;7.94528158;7.838763599;7.662571899;7.369114191;7.261846033;7.118614522;8.402519205;8.296664089;8.11471786;8.211787693;8.062623272;7.926396225;7.669764262;7.560298564;7.413430067;8.76758462;8.659597526;8.47306722;8.570997385;8.418633032;8.237136167
1/5/2025;7.160869732;7.074411282;6.913995323;8.261791273;8.176713385;7.974061819;8.044311292;7.95553426;7.756487462;7.378015038;7.290382385;7.126547408;8.541478039;8.455391432;8.248382783;8.318429641;8.186949889;8.028807004;7.685545399;7.596454392;7.42798869;8.920287046;8.832899656;8.620080051;8.689754312;8.555782895;8.350719665
1/6/2025;7.636809366;7.529930407;7.373119202;9.023471351;8.918632724;8.70826499;8.801350498;8.694313607;8.487362287;7.872523078;7.763893221;7.603779327;9.333735494;9.227344998;9.012469398;9.105934588;8.951818292;8.788229978;8.2076315;8.096725996;7.932137062;9.755803589;9.647366252;9.426444944;9.520328331;9.362908533;9.148195153
1/7/2025;7.510351587;7.386439718;7.251041857;9.026628923;8.898714541;8.711369147;8.947782328;8.815579249;8.627904265;7.746353332;7.620072865;7.481929438;9.342060194;9.211734756;9.020565821;9.262457393;9.08160896;8.939351392;8.082888674;7.953440081;7.811592968;9.772731736;9.639173783;9.442861725;9.692144751;9.506685838;9.313356497
1/8/2025;7.663006929;7.530411937;7.398702931;8.618999667;8.49266603;8.318657231;8.719637854;8.583835763;8.408193791;7.908163724;7.772886565;7.638500528;8.925095743;8.796249238;8.6186553;9.031257508;8.847779413;8.717123372;8.258504792;8.119611829;7.981610762;9.344195671;9.211962869;9.029527982;9.457985804;9.26956554;9.089294085
1/9/2025;7.79593281;7.662852256;7.526699708;9.167923161;9.035384459;8.84894155;9.199968704;9.05093736;8.862586771;8.049857987;7.914031897;7.775006456;9.498552799;9.36333528;9.172929843;9.533844042;9.334203279;9.202150699;8.413152115;8.273623843;8.130699677;9.952150684;9.813314171;9.61754194;9.99192827;9.786603385;9.602340822
1/10/2025;7.275721934;7.152570224;7.023326624;7.788211804;7.682358195;7.515991397;7.609512418;7.538424229;7.372537525;7.51691217;7.39116029;7.259091916;8.073284735;7.965328974;7.795231793;7.889853793;7.778371916;7.614043246;7.862031338;7.732773949;7.596862624;8.464682387;8.353887707;8.178730645;8.274790715;8.160986264;7.950781977
1/11/2025;7.25824055;7.141480944;7.007301922;8.121294358;8.008405659;7.83792917;8.184856426;8.063890985;7.890041449;7.503049457;7.383828882;7.246584952;8.423670781;8.308442823;8.134069658;8.491597249;8.325773126;8.195098502;7.853000653;7.73047994;7.589060059;8.838753316;8.720368569;8.540714739;8.912725234;8.742166014;8.564105231
1/12/2025;6.744760495;6.609987799;6.512437617;7.244473089;7.118260987;6.99279961;7.258361452;7.123596749;6.995747069;6.976170785;6.838137722;6.738610401;7.51823171;7.388903592;7.26090099;7.534439531;7.358910592;7.271716551;7.306248956;7.163769;7.061623975;7.893511881;7.759965458;7.62854877;7.912971453;7.731715903;7.603830372
1/1/2026;6.603118437;6.457098842;6.303184036;8.147253519;7.976356074;7.770279667;7.786894425;7.625292393;7.425631747;6.909419225;6.72103929;6.564164814;8.552207692;8.321655131;8.111242704;8.176455677;7.925147424;7.756693966;7.277439726;7.082515318;6.921707266;9.01244981;8.789497343;8.574260499;8.619804308;8.374881164;8.168947124
1/2/2026;7.286311456;7.126860945;6.956045318;8.719990248;8.539187562;8.316545171;8.616421606;8.444090328;8.228995563;7.62869438;7.422447058;7.248230827;9.15873281;8.914021938;8.686525082;9.052924762;8.781417215;8.584724935;8.039798808;7.826282079;7.647576238;9.657399389;9.420796173;9.187885354;9.549734615;9.285495494;9.046613302
1/3/2026;6.720009888;6.588772737;6.415091185;7.710235448;7.570359008;7.353559949;7.332583953;7.194708937;6.992406698;7.03985591;6.866012419;6.688424614;8.102913201;7.907287322;7.68519373;7.708495592;7.486434375;7.31305448;7.423623124;7.24385731;7.061107243;8.549201398;8.361816523;8.133617047;8.136292725;7.920812123;7.711037027
1/4/2026;7.159469334;7.055716487;6.83492036;8.097191353;7.988843058;7.722582461;7.908497096;7.797316559;7.541689229;7.504659459;7.356943938;7.13034929;8.514780822;8.349499229;8.075793903;8.318969876;8.118396942;7.891821607;7.918569349;7.766519393;7.532225462;8.989463591;8.835058881;8.552440095;8.786163877;8.594847691;8.326528575
1/5/2026;7.164924045;7.081358527;6.839559106;8.183964643;8.09735077;7.805075089;7.959661892;7.869479677;7.589883777;7.51491452;7.388142908;7.139499411;8.611343854;8.468132447;8.167098719;8.377923188;8.198553587;7.947415388;7.934372497;7.804363745;7.546628736;9.097270744;8.966368957;8.654707758;8.854077632;8.685249344;8.390536649
1/6/2026;7.646713285;7.542787302;7.299075514;8.892857018;8.785070447;8.480003354;8.660991425;8.5512377;8.25920969;8.025189777;7.874424315;7.62387042;9.362986079;9.192979124;8.878764988;9.121679377;8.914274717;8.652079239;8.478654017;8.323476409;8.063873302;9.897705676;9.740153929;9.41492867;9.646306485;9.449545776;9.140364443
1/7/2026;7.551581504;7.430219534;7.20826314;8.916488809;8.785954153;8.502552903;8.835420918;8.701033463;8.425203495;7.930312734;7.761771568;7.533730954;9.393753026;9.199678242;8.907956059;9.311228767;9.076132441;8.8317753;8.384058551;8.209937457;7.973896665;9.936926063;9.753839717;9.45225174;9.853409312;9.627634824;9.33650371
1/8/2026;7.674372222;7.54462847;7.325679818;8.630244851;8.498021063;8.23037117;8.741335426;8.601200044;8.336025749;8.064325521;7.886245365;7.661258828;9.097867922;8.903754974;8.628183781;9.217841525;8.977640195;8.744029983;8.531616173;8.347358407;8.114464597;9.630517504;9.446564205;9.161649605;9.761287555;9.52973603;9.250096181
1/9/2026;7.82658059;7.694854398;7.47057807;8.92535572;8.79108375;8.512634861;8.96791704;8.802949199;8.529479595;8.229386478;8.048285802;7.817656524;9.414477272;9.216203621;8.929314916;9.462347837;9.193639855;8.975760637;8.712319637;8.524824667;8.285894938;9.972231151;9.78450859;9.48764824;10.02683822;9.765476245;9.501520029
1/10/2026;7.252551798;7.131409971;6.921522888;7.599806825;7.490960468;7.246558243;7.408539476;7.339450759;7.102969467;7.630490812;7.463503873;7.24751267;8.020929901;7.857747706;7.605669097;7.821596659;7.669576968;7.417347316;8.083905276;7.910948341;7.686949167;8.501667206;8.347712836;8.086509872;8.293719436;8.151876566;7.857044851
1/11/2026;7.234154227;7.120126688;6.904469006;7.888209289;7.774351258;7.522061731;7.950775559;7.828906272;7.578628659;7.615586117;7.456087917;7.233906127;8.330549222;8.160154914;7.899793747;8.39938744;8.186345317;7.965859328;8.073777743;7.908597013;7.677909242;8.836480473;8.675508878;8.405547014;8.913147507;8.707903534;8.444482098
1/12/2026;6.733302327;6.599092837;6.426993213;7.121958468;6.991247126;6.792224248;7.130340901;6.991392892;6.795307087;7.092357765;6.914397023;6.73747906;7.525466811;7.342219806;7.137231061;7.536827728;7.314639948;7.147964689;7.524317346;7.339136752;7.156004965;7.987885287;7.811171756;7.59928605;8.003270271;7.785958632;7.582603072
